state_name,district_name,district_key,shannon_index_early,simpson_index_early,crop_richness_early,total_cropped_area_early,dominant_crop_early,dominant_crop_share_early,top3_crops_share_early,shannon_index_late,simpson_index_late,crop_richness_late,total_cropped_area_late,dominant_crop_late,dominant_crop_share_late,top3_crops_share_late,shannon_change,simpson_change,richness_change
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,0.5059,0.2107,14,118720.5,Coconut,0.8857,0.9792,0.4921,0.2062,15,81776.8,Coconut,0.8886,0.9767,-0.013800000000000034,-0.004500000000000004,1
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,1.3705,0.6727,11,44871.0,Rice,0.4568,0.9071,1.6628,0.7253,22,59055.4,Rice,0.449,0.8086,0.2923,0.05259999999999998,11
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,1.5058,0.7065,13,95280.1,Rice,0.4258,0.8562,1.3564,0.6348,19,27233.3,Coconut,0.5165,0.8941,-0.14939999999999998,-0.07169999999999999,6
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,1.0617,0.403,34,9079445.0,Groundnut,0.7674,0.8677,1.7017,0.7145,38,6555133.0,Niger Seed,0.3773,0.798,0.6399999999999999,0.3115,4
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,1.4357,0.6162,36,3212204.0,Groundnut,0.5748,0.8747,1.803,0.7639,34,1941678.0,Niger Seed,0.3204,0.7941,0.36729999999999996,0.14770000000000005,-2
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,1.5417,0.6047,39,5685597.0,Rice,0.61,0.7979,1.6084,0.6055,33,3133227.0,Rice,0.6145,0.7565,0.06669999999999998,0.0008000000000000229,-6
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,1.881,0.7711,33,6595958.0,Rice,0.3853,0.7648,2.0366,0.815,34,3434352.0,Rice,0.3014,0.667,0.15559999999999996,0.04389999999999994,1
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,1.9521,0.7771,36,3588087.0,Groundnut,0.3994,0.7192,2.3944,0.8643,38,1674535.0,Gram,0.2691,0.5449,0.44230000000000014,0.08719999999999994,2
Andhra Pradesh,Krishna,ANDHRA PRADESH|KRISHNA,1.4667,0.6185,36,5217561.0,Rice,0.5796,0.8359,1.6044,0.6894,26,2718265.0,Rice,0.4782,0.8299,0.13770000000000016,0.07089999999999996,-10
Andhra Pradesh,Kurnool,ANDHRA PRADESH|KURNOOL,2.27,0.8583,37,7901914.0,Groundnut,0.2515,0.5505,2.3657,0.8764,33,5221132.0,Cotton(Lint),0.224,0.5112,0.0956999999999999,0.018100000000000005,-4
Andhra Pradesh,Prakasam,ANDHRA PRADESH|PRAKASAM,2.5369,0.8904,36,4501966.0,Rice,0.2347,0.4686,2.4403,0.8826,35,2390718.0,Gram,0.1998,0.5038,-0.09660000000000002,-0.007799999999999918,-1
Andhra Pradesh,Sri Potti Sriramulu Nellore,ANDHRA PRADESH|SRI POTTI SRIRAMULU NELLORE,1.3944,0.5262,32,2684989.0,Rice,0.6792,0.8011,1.2362,0.4644,33,1540112.0,Rice,0.7251,0.8374,-0.15820000000000012,-0.06180000000000002,1
Andhra Pradesh,Srikakulam,ANDHRA PRADESH|SRIKAKULAM,1.8761,0.7192,33,3320129.0,Rice,0.4992,0.6996,1.8133,0.7041,29,2058652.0,Rice,0.5154,0.7017,-0.06280000000000019,-0.015100000000000002,-4
Andhra Pradesh,Visakhapatanam,ANDHRA PRADESH|VISAKHAPATANAM,2.4477,0.8573,36,2802383.0,Rice,0.3108,0.5508,2.2543,0.8104,37,1382371.0,Rice,0.3855,0.6131,-0.19340000000000002,-0.04689999999999994,1
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH|VIZIANAGARAM,2.2718,0.8395,35,3324228.0,Rice,0.3242,0.6001,2.1035,0.7853,34,1494722.0,Rice,0.4229,0.6175,-0.1682999999999999,-0.054200000000000026,-1
Andhra Pradesh,West Godavari,ANDHRA PRADESH|WEST GODAVARI,1.1724,0.4446,34,5209496.0,Rice,0.7393,0.8434,1.5757,0.6215,34,3332180.0,Rice,0.5965,0.7763,0.4033,0.17690000000000006,0
Arunachal Pradesh,Anjaw,ARUNACHAL PRADESH|ANJAW,1.0724,0.5947,9,13738.0,Rice,0.4908,0.969,1.4097,0.6787,16,41012.0,Rice,0.4506,0.9218,0.33729999999999993,0.08399999999999996,7
Arunachal Pradesh,Changlang,ARUNACHAL PRADESH|CHANGLANG,1.3768,0.6333,14,195601.0,Rice,0.5417,0.8834,1.8548,0.7388,20,101904.0,Rice,0.4601,0.7258,0.478,0.10550000000000004,6
Arunachal Pradesh,Dibang Valley,ARUNACHAL PRADESH|DIBANG VALLEY,1.4033,0.6773,14,132285.0,Maize,0.398,0.862,1.7639,0.7475,18,28112.0,Maize,0.3561,0.8202,0.36060000000000003,0.07020000000000004,4
Arunachal Pradesh,East Kameng,ARUNACHAL PRADESH|EAST KAMENG,0.8997,0.4551,13,115157.0,Rice,0.7048,0.9698,1.4873,0.6161,16,73389.0,Rice,0.582,0.8341,0.5876,0.16099999999999998,3
Arunachal Pradesh,East Siang,ARUNACHAL PRADESH|EAST SIANG,1.4002,0.6562,14,193598.0,Rice,0.4989,0.8842,1.6543,0.6701,21,116864.0,Rice,0.5392,0.7828,0.2541000000000002,0.013900000000000023,7
Arunachal Pradesh,Kurung Kumey,ARUNACHAL PRADESH|KURUNG KUMEY,0.9144,0.4715,9,38164.0,Rice,0.692,0.9652,2.0061,0.7973,15,6750.0,Rice,0.3787,0.6775,1.0917,0.32580000000000003,6
Arunachal Pradesh,Lohit,ARUNACHAL PRADESH|LOHIT,1.214,0.6158,14,284093.0,Maize,0.4739,0.9158,1.7058,0.7456,21,75827.0,Maize,0.3369,0.8563,0.4918,0.12980000000000003,7
Arunachal Pradesh,Lower Dibang Valley,ARUNACHAL PRADESH|LOWER DIBANG VALLEY,1.2355,0.6419,9,86557.0,Rice,0.4458,0.9136,1.7521,0.7379,22,176131.0,Rice,0.4131,0.7756,0.5166,0.09599999999999997,13
Arunachal Pradesh,Lower Subansiri,ARUNACHAL PRADESH|LOWER SUBANSIRI,0.9628,0.4634,14,182322.0,Rice,0.7087,0.9548,1.4269,0.5899,18,58466.0,Rice,0.6162,0.836,0.46410000000000007,0.1265,4
Arunachal Pradesh,Papum Pare,ARUNACHAL PRADESH|PAPUM PARE,1.1098,0.5375,14,113725.0,Rice,0.6251,0.9334,1.477,0.5877,21,96460.0,Rice,0.6182,0.8239,0.3672000000000002,0.05020000000000002,7
Arunachal Pradesh,Tawang,ARUNACHAL PRADESH|TAWANG,1.6567,0.7858,12,52835.0,Wheat,0.325,0.6792,2.0088,0.8383,12,27339.0,Small Millets,0.2297,0.6046,0.35209999999999986,0.05249999999999999,0
Arunachal Pradesh,Tirap,ARUNACHAL PRADESH|TIRAP,1.2698,0.6761,13,122382.0,Rice,0.4171,0.9626,1.4365,0.6914,15,45856.0,Maize,0.4182,0.914,0.16670000000000007,0.01529999999999998,2
Arunachal Pradesh,Upper Siang,ARUNACHAL PRADESH|UPPER SIANG,1.0137,0.5481,13,96116.0,Rice,0.6125,0.9766,1.4444,0.6144,16,57211.0,Rice,0.5871,0.8637,0.43069999999999986,0.06629999999999991,3
Arunachal Pradesh,Upper Subansiri,ARUNACHAL PRADESH|UPPER SUBANSIRI,1.1494,0.5596,14,89631.0,Rice,0.6209,0.937,1.6255,0.6797,17,46837.0,Rice,0.5155,0.8333,0.47609999999999997,0.12009999999999998,3
Arunachal Pradesh,West Kameng,ARUNACHAL PRADESH|WEST KAMENG,1.3618,0.6513,11,62369.0,Maize,0.538,0.8464,1.897,0.7796,13,38740.0,Maize,0.4017,0.6836,0.5352000000000001,0.12829999999999997,2
Arunachal Pradesh,West Siang,ARUNACHAL PRADESH|WEST SIANG,0.9545,0.4726,14,262243.0,Rice,0.6977,0.966,1.0725,0.4475,21,103480.0,Rice,0.7311,0.9074,0.118,-0.02510000000000001,7
Assam,Baksa,ASSAM|BAKSA,1.1398,0.4204,28,127014.0,Rice,0.7555,0.8696,1.2214,0.4404,32,668350.0,Rice,0.7417,0.8594,0.08160000000000012,0.020000000000000018,4
Assam,Barpeta,ASSAM|BARPETA,1.4782,0.5492,30,2384441.0,Rice,0.6605,0.793,1.565,0.5689,32,961873.0,Rice,0.645,0.784,0.08679999999999999,0.01969999999999994,2
Assam,Bongaigaon,ASSAM|BONGAIGAON,1.3673,0.5078,30,1264761.0,Rice,0.6915,0.8276,1.5275,0.5434,31,407259.0,Rice,0.6665,0.7902,0.16020000000000012,0.035599999999999965,1
Assam,Cachar,ASSAM|CACHAR,0.7032,0.2454,29,1087533.0,Rice,0.8674,0.9191,0.7504,0.2621,32,638498.0,Rice,0.8575,0.913,0.04719999999999991,0.016699999999999993,3
Assam,Chirang,ASSAM|CHIRANG,1.3634,0.521,28,63526.0,Rice,0.6787,0.8407,1.647,0.6321,32,374385.0,Rice,0.5748,0.798,0.2836000000000001,0.11109999999999998,4
Assam,Darrang,ASSAM|DARRANG,1.3472,0.5071,30,2100441.0,Rice,0.691,0.8334,1.5971,0.6037,31,582770.0,Rice,0.6109,0.7873,0.2499,0.09660000000000002,1
Assam,Dhemaji,ASSAM|DHEMAJI,0.9891,0.3991,30,821891.0,Rice,0.765,0.9162,1.0357,0.4555,32,503825.0,Rice,0.7169,0.9347,0.046600000000000086,0.056400000000000006,2
Assam,Dhubri,ASSAM|DHUBRI,1.6171,0.5978,30,1838370.0,Rice,0.621,0.7603,1.5531,0.5963,30,726143.0,Rice,0.6163,0.8136,-0.06400000000000006,-0.0014999999999999458,0
Assam,Dibrugarh,ASSAM|DIBRUGARH,0.9565,0.3769,30,976870.0,Rice,0.7819,0.9063,0.6037,0.2057,30,433786.0,Rice,0.8903,0.9364,-0.3528,-0.17120000000000002,0
Assam,Dima Hasao,ASSAM|DIMA HASAO,1.6094,0.6077,30,203450.0,Rice,0.6094,0.7829,2.2279,0.8258,28,199520.0,Rice,0.3593,0.5705,0.6185,0.21809999999999996,-2
Assam,Goalpara,ASSAM|GOALPARA,1.3172,0.463,30,889897.0,Rice,0.728,0.8095,1.338,0.473,32,570877.0,Rice,0.7199,0.8243,0.02080000000000015,0.009999999999999953,2
Assam,Golaghat,ASSAM|GOLAGHAT,1.1415,0.4211,30,1003691.0,Rice,0.756,0.8504,0.9507,0.3433,30,758834.0,Rice,0.8072,0.8944,-0.19079999999999997,-0.07779999999999998,0
Assam,Hailakandi,ASSAM|HAILAKANDI,0.762,0.2772,27,482943.0,Rice,0.8481,0.9179,0.8528,0.3201,30,272822.0,Rice,0.8213,0.9093,0.09079999999999999,0.042899999999999994,3
Assam,Jorhat,ASSAM|JORHAT,1.0113,0.3858,28,1047634.0,Rice,0.7781,0.8866,1.0685,0.4103,32,640874.0,Rice,0.7614,0.8859,0.05719999999999992,0.024500000000000022,4
Assam,Kamrup,ASSAM|KAMRUP,1.2796,0.4551,30,2014213.0,Rice,0.7329,0.8288,1.2432,0.452,32,738388.0,Rice,0.7339,0.8426,-0.03639999999999999,-0.0030999999999999917,2
Assam,Kamrup Metro,ASSAM|KAMRUP METRO,0.6941,0.2415,26,22046.0,Rice,0.8694,0.9301,0.9067,0.32,31,144723.0,Rice,0.8219,0.8974,0.2125999999999999,0.07850000000000001,5
Assam,Karbi Anglong,ASSAM|KARBI ANGLONG,1.2279,0.4653,30,1541419.0,Rice,0.7214,0.8756,1.4166,0.5299,32,994962.0,Rice,0.6724,0.8377,0.1887000000000001,0.06460000000000005,2
Assam,Karimganj,ASSAM|KARIMGANJ,0.5575,0.1947,28,738718.0,Rice,0.8965,0.9422,0.6073,0.2106,30,392958.0,Rice,0.8874,0.9427,0.049799999999999955,0.015899999999999997,2
Assam,Kokrajhar,ASSAM|KOKRAJHAR,1.2427,0.4745,30,1209680.0,Rice,0.7111,0.8694,1.3761,0.5329,32,760091.0,Rice,0.6628,0.8652,0.13340000000000019,0.05840000000000006,2
Assam,Lakhimpur,ASSAM|LAKHIMPUR,0.9326,0.3738,30,1349849.0,Rice,0.7819,0.9241,1.1899,0.4962,32,894086.0,Rice,0.6924,0.8802,0.2573,0.12239999999999995,2
Assam,Marigaon,ASSAM|MARIGAON,1.1135,0.4054,30,1071939.0,Rice,0.7663,0.8674,1.2411,0.4594,32,609131.0,Rice,0.7271,0.8677,0.12760000000000016,0.05399999999999999,2
Assam,Nagaon,ASSAM|NAGAON,1.2755,0.4667,30,2962564.0,Rice,0.7236,0.8331,1.2135,0.4336,32,1312679.0,Rice,0.7478,0.8465,-0.062000000000000055,-0.03310000000000002,2
Assam,Nalbari,ASSAM|NALBARI,1.14,0.4033,30,1646980.0,Rice,0.7685,0.8578,1.2392,0.4688,32,529538.0,Rice,0.7206,0.8496,0.09920000000000018,0.0655,2
Assam,Sivasagar,ASSAM|SIVASAGAR,0.5644,0.1981,29,998396.0,Rice,0.8944,0.9467,0.5395,0.1804,30,573528.0,Rice,0.9046,0.9438,-0.024900000000000033,-0.017699999999999994,1
Assam,Sonitpur,ASSAM|SONITPUR,1.206,0.4492,30,1961441.0,Rice,0.7335,0.8641,1.3041,0.4726,32,1137505.0,Rice,0.7187,0.8429,0.09810000000000008,0.023400000000000032,2
Assam,Tinsukia,ASSAM|TINSUKIA,0.9947,0.3927,30,757776.0,Rice,0.7714,0.9011,1.1834,0.4597,31,432696.0,Rice,0.7259,0.861,0.18869999999999998,0.067,1
Assam,Udalguri,ASSAM|UDALGURI,1.5229,0.5822,28,123218.0,Rice,0.6309,0.8015,1.2373,0.446,30,603587.0,Rice,0.7384,0.8531,-0.28559999999999985,-0.13620000000000004,2
Bihar,Araria,BIHAR|ARARIA,1.9168,0.7468,37,2286265.0,Rice,0.4357,0.7659,1.4109,0.6758,24,987549.0,Rice,0.4947,0.8573,-0.5059,-0.07100000000000006,-13
Bihar,Arwal,BIHAR|ARWAL,1.4278,0.6304,31,151999.0,Rice,0.5486,0.8514,1.2398,0.5829,25,275644.0,Rice,0.5814,0.9175,-0.18799999999999994,-0.04749999999999999,-6
Bihar,Aurangabad,BIHAR|AURANGABAD,1.3939,0.6129,36,2083946.0,Rice,0.5761,0.8543,1.1977,0.5787,23,1452521.0,Rice,0.5892,0.9129,-0.19619999999999993,-0.03420000000000001,-13
Bihar,Banka,BIHAR|BANKA,1.3343,0.5665,35,1451067.0,Rice,0.6265,0.892,1.2035,0.5267,23,743248.0,Rice,0.6597,0.9003,-0.13080000000000003,-0.03980000000000006,-12
Bihar,Begusarai,BIHAR|BEGUSARAI,1.5852,0.7073,38,1487282.0,Maize,0.392,0.8708,1.609,0.7153,33,797203.0,Wheat,0.387,0.8365,0.023800000000000043,0.008000000000000007,-5
Bihar,Bhagalpur,BIHAR|BHAGALPUR,1.939,0.785,38,1492812.0,Maize,0.2773,0.7957,1.8052,0.7616,31,712334.0,Wheat,0.3351,0.8313,-0.13380000000000014,-0.023399999999999976,-7
Bihar,Bhojpur,BIHAR|BHOJPUR,1.4518,0.6526,32,1779574.0,Rice,0.4672,0.8569,1.3042,0.6212,29,1008871.0,Rice,0.4835,0.8883,-0.14759999999999995,-0.031399999999999983,-3
Bihar,Buxar,BIHAR|BUXAR,1.5139,0.6695,29,1401483.0,Rice,0.4372,0.8474,1.1978,0.5956,24,943884.0,Rice,0.4565,0.9133,-0.31610000000000005,-0.07389999999999997,-5
Bihar,Darbhanga,BIHAR|DARBHANGA,1.4739,0.6591,36,1645734.0,Rice,0.4628,0.8671,1.333,0.6473,21,830528.0,Rice,0.4709,0.8895,-0.14090000000000003,-0.011800000000000033,-15
Bihar,Gaya,BIHAR|GAYA,1.5264,0.6435,38,1853794.0,Rice,0.5278,0.8329,1.3601,0.6304,24,973029.0,Rice,0.4888,0.8793,-0.1662999999999999,-0.0131,-14
Bihar,Gopalganj,BIHAR|GOPALGANJ,1.4573,0.6846,36,1950272.0,Wheat,0.3938,0.8584,1.3406,0.6741,18,926780.0,Wheat,0.4077,0.8979,-0.11670000000000003,-0.010499999999999954,-18
Bihar,Jamui,BIHAR|JAMUI,1.4862,0.6366,27,651652.0,Rice,0.5444,0.868,1.3734,0.6343,17,569700.0,Rice,0.5047,0.8679,-0.11280000000000001,-0.0023000000000000798,-10
Bihar,Jehanabad,BIHAR|JEHANABAD,1.4259,0.6425,35,1031013.0,Rice,0.519,0.8671,1.4483,0.6801,22,370681.0,Rice,0.4533,0.8498,0.022399999999999975,0.03760000000000008,-13
Bihar,Kaimur (Bhabua),BIHAR|KAIMUR (BHABUA),1.3668,0.6282,35,1673131.0,Rice,0.4965,0.884,1.0539,0.5558,22,1079615.0,Rice,0.5535,0.9421,-0.31289999999999996,-0.07240000000000002,-13
Bihar,Katihar,BIHAR|KATIHAR,1.7227,0.7259,40,2247321.0,Rice,0.4591,0.759,1.6008,0.721,31,1110062.0,Rice,0.4087,0.8175,-0.1218999999999999,-0.0049000000000000155,-9
Bihar,Khagaria,BIHAR|KHAGARIA,1.6513,0.7221,36,1101694.0,Maize,0.3917,0.8711,1.4975,0.6764,33,607180.0,Maize,0.4896,0.8891,-0.15379999999999994,-0.04569999999999996,-3
Bihar,Kishanganj,BIHAR|KISHANGANJ,1.5678,0.6542,39,1498045.0,Rice,0.537,0.8689,1.4808,0.6148,27,662518.0,Rice,0.5921,0.8374,-0.08700000000000019,-0.03939999999999999,-12
Bihar,Lakhisarai,BIHAR|LAKHISARAI,1.6624,0.7355,26,654790.0,Rice,0.3835,0.7808,1.4904,0.6961,17,377860.0,Rice,0.3946,0.8274,-0.17200000000000015,-0.03939999999999999,-9
Bihar,Madhepura,BIHAR|MADHEPURA,1.8626,0.7664,36,1768815.0,Rice,0.3784,0.7889,1.6474,0.7261,32,911240.0,Rice,0.4402,0.8077,-0.21520000000000006,-0.0403,-4
Bihar,Madhubani,BIHAR|MADHUBANI,1.2916,0.5798,37,2436317.0,Rice,0.5816,0.8878,1.0018,0.5209,28,1598214.0,Rice,0.63,0.9489,-0.28980000000000006,-0.05889999999999995,-9
Bihar,Munger,BIHAR|MUNGER,1.4441,0.6906,28,530404.0,Rice,0.4125,0.9134,1.1942,0.5818,19,234218.0,Rice,0.5705,0.9258,-0.2499,-0.10880000000000001,-9
Bihar,Muzaffarpur,BIHAR|MUZAFFARPUR,1.5513,0.6974,38,2537425.0,Rice,0.4345,0.857,1.4251,0.6938,28,1478599.0,Rice,0.4047,0.8696,-0.12619999999999987,-0.0036000000000000476,-10
Bihar,Nalanda,BIHAR|NALANDA,1.4127,0.6559,31,1935150.0,Rice,0.4247,0.8677,1.3939,0.6499,28,1173306.0,Rice,0.4694,0.8789,-0.01880000000000015,-0.006000000000000005,-3
Bihar,Nawada,BIHAR|NAWADA,1.3383,0.6142,36,1143108.0,Rice,0.5001,0.8866,1.2064,0.5864,26,643751.0,Rice,0.533,0.916,-0.13190000000000013,-0.027799999999999936,-10
Bihar,Pashchim Champaran,BIHAR|PASHCHIM CHAMPARAN,1.6762,0.7226,36,3160469.0,Rice,0.4446,0.8206,1.3508,0.6835,29,1893572.0,Sugarcane,0.3802,0.9331,-0.3253999999999999,-0.039100000000000024,-7
Bihar,Patna,BIHAR|PATNA,1.8259,0.7626,30,2069848.0,Rice,0.3795,0.7469,1.6789,0.7457,28,963170.0,Rice,0.3401,0.8199,-0.14700000000000002,-0.016899999999999915,-2
Bihar,Purbi Champaran,BIHAR|PURBI CHAMPARAN,1.371,0.6286,36,2895173.0,Rice,0.5149,0.8935,1.3677,0.6666,19,1990812.0,Rice,0.476,0.8917,-0.0033000000000000806,0.03799999999999992,-17
Bihar,Purnia,BIHAR|PURNIA,1.8851,0.7682,39,2459099.0,Rice,0.4001,0.7346,1.3862,0.6411,22,959748.0,Rice,0.548,0.8622,-0.4988999999999999,-0.1271,-17
Bihar,Rohtas,BIHAR|ROHTAS,1.1927,0.5859,37,3042723.0,Rice,0.5227,0.9195,0.9319,0.5302,23,1775187.0,Rice,0.5625,0.9638,-0.26080000000000014,-0.05569999999999997,-14
Bihar,Saharsa,BIHAR|SAHARSA,1.6287,0.7216,35,1732262.0,Rice,0.4284,0.8411,1.4072,0.7001,21,885807.0,Rice,0.4322,0.8675,-0.22150000000000003,-0.021500000000000075,-14
Bihar,Samastipur,BIHAR|SAMASTIPUR,1.9454,0.786,38,2000754.0,Rice,0.3341,0.7711,1.7283,0.7562,34,1289880.0,Rice,0.3667,0.8192,-0.21710000000000007,-0.02980000000000005,-4
Bihar,Saran,BIHAR|SARAN,1.4066,0.6734,35,1938839.0,Wheat,0.4229,0.9145,1.256,0.6488,24,936320.0,Wheat,0.4541,0.9434,-0.15060000000000007,-0.024599999999999955,-11
Bihar,Sheikhpura,BIHAR|SHEIKHPURA,1.4431,0.6672,23,433676.0,Rice,0.4169,0.854,1.3046,0.6286,24,276437.0,Rice,0.4589,0.9043,-0.13850000000000007,-0.03859999999999997,1
Bihar,Sheohar,BIHAR|SHEOHAR,1.3715,0.6189,32,349842.0,Rice,0.5332,0.8783,1.3249,0.6258,25,215180.0,Rice,0.5109,0.8841,-0.046599999999999975,0.006900000000000017,-7
Bihar,Sitamarhi,BIHAR|SITAMARHI,1.4246,0.633,37,1551527.0,Rice,0.5023,0.8619,1.2751,0.648,21,1129575.0,Rice,0.4321,0.9309,-0.1495000000000002,0.015000000000000013,-16
Bihar,Siwan,BIHAR|SIWAN,1.4348,0.6616,38,2092282.0,Rice,0.4069,0.8985,1.2757,0.6343,28,1056934.0,Wheat,0.4279,0.9312,-0.15910000000000002,-0.02729999999999999,-10
Bihar,Supaul,BIHAR|SUPAUL,1.8085,0.7193,38,2184916.0,Rice,0.4658,0.7686,1.7196,0.7274,29,1147081.0,Rice,0.4463,0.7906,-0.08889999999999998,0.008099999999999996,-9
Bihar,Vaishali,BIHAR|VAISHALI,1.8855,0.7845,38,1505733.0,Rice,0.3213,0.7726,1.6799,0.7661,28,698347.0,Rice,0.2957,0.8191,-0.2056,-0.018399999999999972,-10
Chandigarh,Chandigarh,CHANDIGARH|CHANDIGARH,1.2498,0.5695,12,9143.0,Wheat,0.6267,0.8646,0.2652,0.1108,5,2907.0,Wheat,0.9419,0.9955,-0.9846,-0.4587,-7
Chhattisgarh,Bastar,CHHATTISGARH|BASTAR,1.2244,0.4803,39,2921245.0,Rice,0.7106,0.8559,0.9749,0.3795,37,836865.0,Rice,0.7821,0.8996,-0.24949999999999994,-0.1008,-2
Chhattisgarh,Bilaspur,CHHATTISGARH|BILASPUR,1.3004,0.5034,38,3703227.0,Rice,0.6918,0.8537,0.6741,0.2417,39,1229084.0,Rice,0.8687,0.9459,-0.6263,-0.26169999999999993,1
Chhattisgarh,Dakshin Bastar Dantewada,CHHATTISGARH|DAKSHIN BASTAR DANTEWADA,0.9881,0.4499,37,1741608.0,Rice,0.7161,0.9318,0.8724,0.4217,33,481832.0,Rice,0.7332,0.9599,-0.11570000000000003,-0.028200000000000003,-4
Chhattisgarh,Dhamtari,CHHATTISGARH|DHAMTARI,1.0309,0.4042,37,1542958.0,Rice,0.7644,0.8954,0.7529,0.3111,36,1054325.0,Rice,0.8244,0.9577,-0.2779999999999999,-0.09310000000000002,-1
Chhattisgarh,Durg,CHHATTISGARH|DURG,1.4217,0.5882,41,5722862.0,Rice,0.6181,0.8454,1.0122,0.4243,36,891023.0,Rice,0.7488,0.9002,-0.4095,-0.16389999999999993,-5
Chhattisgarh,Janjgir-Champa,CHHATTISGARH|JANJGIR-CHAMPA,0.5812,0.2159,35,2386384.0,Rice,0.8831,0.9552,0.3105,0.0919,34,1350167.0,Rice,0.9528,0.9712,-0.27070000000000005,-0.12400000000000001,-1
Chhattisgarh,Jashpur,CHHATTISGARH|JASHPUR,1.291,0.482,38,2015973.0,Rice,0.7117,0.8404,1.1908,0.4476,36,1242623.0,Rice,0.7358,0.867,-0.10019999999999984,-0.034399999999999986,-2
Chhattisgarh,Kabirdham,CHHATTISGARH|KABIRDHAM,1.8288,0.7513,37,1332339.0,Rice,0.416,0.7721,1.6564,0.724,30,1362929.0,Rice,0.4148,0.8053,-0.1723999999999999,-0.02729999999999999,-7
Chhattisgarh,Kanker,CHHATTISGARH|KANKER,1.0521,0.3967,38,1703392.0,Rice,0.7701,0.8897,0.7914,0.2928,35,1107751.0,Rice,0.8383,0.9186,-0.26070000000000004,-0.10389999999999999,-3
Chhattisgarh,Korba,CHHATTISGARH|KORBA,1.0264,0.3618,36,1101963.0,Rice,0.7962,0.8624,0.8707,0.302,37,654285.0,Rice,0.8336,0.8944,-0.15569999999999995,-0.05980000000000002,1
Chhattisgarh,Korea,CHHATTISGARH|KOREA,1.6804,0.6378,39,714646.0,Rice,0.5826,0.7621,1.5283,0.5638,35,523116.0,Rice,0.6503,0.7731,-0.1520999999999999,-0.07400000000000007,-4
Chhattisgarh,Mahasamund,CHHATTISGARH|MAHASAMUND,0.6486,0.2255,37,2221869.0,Rice,0.8788,0.9333,0.3661,0.1242,37,1518447.0,Rice,0.9354,0.9725,-0.2825,-0.1013,0
Chhattisgarh,Narayanpur,CHHATTISGARH|NARAYANPUR,0.0,0.0,1,18.0,Mesta,1.0,1.0,0.9603,0.3938,29,157517.0,Rice,0.772,0.8883,0.9603,0.3938,28
Chhattisgarh,Raigarh,CHHATTISGARH|RAIGARH,1.0148,0.3579,39,1814658.0,Rice,0.7975,0.8933,0.8587,0.2972,37,1417160.0,Rice,0.836,0.91,-0.1560999999999999,-0.060699999999999976,-2
Chhattisgarh,Raipur,CHHATTISGARH|RAIPUR,0.8866,0.3271,39,5098066.0,Rice,0.8159,0.9112,0.6358,0.2461,35,980414.0,Rice,0.8653,0.9508,-0.2508,-0.08099999999999999,-4
Chhattisgarh,Rajnandgaon,CHHATTISGARH|RAJNANDGAON,1.652,0.6498,40,3563455.0,Rice,0.5704,0.7424,1.4006,0.5832,40,2436539.0,Rice,0.6174,0.8431,-0.25139999999999985,-0.06659999999999999,0
Chhattisgarh,Surguja,CHHATTISGARH|SURGUJA,1.8174,0.6572,40,4366273.0,Rice,0.5699,0.713,1.5051,0.5342,39,861874.0,Rice,0.6757,0.775,-0.3122999999999998,-0.123,-1
Goa,North Goa,GOA|NORTH GOA,1.3609,0.677,9,180509.0,Cashewnut,0.4437,0.8945,1.3443,0.6474,12,353481.0,Cashewnut,0.5281,0.8857,-0.016599999999999948,-0.02960000000000007,3
Goa,South Goa,GOA|SOUTH GOA,1.2282,0.6407,9,131257.0,Rice,0.5109,0.953,1.4352,0.7161,11,319164.0,Rice,0.349,0.9149,0.20700000000000007,0.07539999999999991,2
Gujarat,Ahmadabad,GUJARAT|AHMADABAD,1.9233,0.7864,25,4148900.0,Cotton(Lint),0.3682,0.7294,1.6806,0.7744,24,2442942.0,Rice,0.2854,0.7911,-0.24269999999999992,-0.01200000000000001,-1
Gujarat,Amreli,GUJARAT|AMRELI,1.591,0.6733,24,4897500.0,Groundnut,0.5282,0.7815,0.9537,0.4587,26,2716810.0,Cotton(Lint),0.702,0.9411,-0.6373,-0.2146,2
Gujarat,Anand,GUJARAT|ANAND,1.7591,0.7656,21,691000.0,Rice,0.3551,0.8045,1.65,0.7572,26,1512094.0,Rice,0.3651,0.7898,-0.1091000000000002,-0.008399999999999963,5
Gujarat,Banas Kantha,GUJARAT|BANAS KANTHA,2.1196,0.8213,25,6822300.0,Bajra,0.3293,0.6308,2.1705,0.8577,26,4096805.0,Bajra,0.2408,0.5564,0.050899999999999945,0.03639999999999999,1
